path,name,seed,group,size,compressed_path,compressed_size,complexity,valence2
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant/Pleasant_landscape_S235711138_St25_G7.5.148.png,pleasant_26,235711138,pleasant,422997,../images/Comprimida/7ee30b4cf4b742cfca18ebaade452b11e1a45ac402ef3bc28e8240877b8b2cb1.png,406084,0.52,8
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant/Pleasant_landscape_S235711136_St25_G7.5.146.png,pleasant_24,235711136,pleasant,490273,../images/Comprimida/55454d0f57d30a5853b4462825a5701ab760d5883f2cba739191c3bfa62f583a.png,474245,0.6,8
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant/Pleasant_landscape_S235711132_St25_G7.5.142.png,pleasant_20,235711132,pleasant,569439,../images/Comprimida/24c53f2ee78c84c14aad6caac8a5487f061bf4b47a1fcd78eb053e13c57e3c17.png,552196,0.7,7
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant/Pleasant_landscape_S235711113_St25_G7.5.123.png,pleasant_1,235711113,pleasant,553613,../images/Comprimida/43d991a5a74354b7d4d0eb091dc496dde700512d9cc7dfb4c9c7c1a384f5e23d.png,536283,0.68,8
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant/Pleasant_landscape_S235711122_St25_G7.5.132.png,pleasant_10,235711122,pleasant,460834,../images/Comprimida/de0749a1b5b4b4c4fbe40360ee9909aac116d06ade6b6bbca13be067632d039f.png,447861,0.57,8
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant/Pleasant_landscape_S235711137_St25_G7.5.147.png,pleasant_25,235711137,pleasant,443314,../images/Comprimida/c164b4c82c8e4ba696d6c780f2f61d1c4285e2ff9bff67c08358f9231839acbe.png,424173,0.54,8
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant/Pleasant_landscape_S235711114_St25_G7.5.124.png,pleasant_2,235711114,pleasant,453472,../images/Comprimida/d6d342defd609d95d58c01294d6ea10b69b746a008a4460ede7780d26be5daaa.png,435110,0.55,6
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant/Pleasant_landscape_S235711124_St25_G7.5.134.png,pleasant_12,235711124,pleasant,465380,../images/Comprimida/4a715bf41a371b42ef2ec0d4e000e6df02c6e83a7f45157c97bccbe37ea1630a.png,447143,0.57,7
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant/Pleasant_landscape_S235711133_St25_G7.5.143.png,pleasant_21,235711133,pleasant,591174,../images/Comprimida/0da1f21f4739196bcdd41f2a4813c729d31d1fbcc0ac565e8067515f627c0112.png,575005,0.73,3
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant/Pleasant_landscape_S235711141_St25_G7.5.151.png,pleasant_29,235711141,pleasant,436248,../images/Comprimida/992429c150015541d0529e6022da03c38e15e1f62010e9e08ae636f80c44a83d.png,415933,0.53,5
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant/Pleasant_landscape_S235711139_St25_G7.5.149.png,pleasant_27,235711139,pleasant,520417,../images/Comprimida/774dcebc915b77edbb809bfc2743f01a1cf1544ab52c10fd1ef0c6d727bdf59d.png,500635,0.64,7
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant/Pleasant_landscape_S235711121_St25_G7.5.131.png,pleasant_9,235711121,pleasant,446291,../images/Comprimida/db9a32f6f1b0a956e8875f78eda67d14e71b127bfdad2d9ccc46221ea5e59de0.png,428407,0.54,4
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant/Pleasant_landscape_S235711126_St25_G7.5.136.png,pleasant_14,235711126,pleasant,462677,../images/Comprimida/0ba24d4d45bbdbd4777b32e06918e2b5fc180087e775b7071b62286ee0d58e4a.png,443892,0.56,7
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant/Pleasant_landscape_S235711142_St25_G7.5.152.png,pleasant_30,235711142,pleasant,450853,../images/Comprimida/1bd00bc0dff5c359787df602477d46d660205a9fa0d108cbb2f01abba449afbd.png,432069,0.55,8
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant/Pleasant_landscape_S235711135_St25_G7.5.145.png,pleasant_23,235711135,pleasant,476211,../images/Comprimida/50cbecb128b7fdd1dea98a5a8a38053357427c30c714bbb1d1eaa1fd202b6694.png,462522,0.59,6
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant/Pleasant_landscape_S235711125_St25_G7.5.135.png,pleasant_13,235711125,pleasant,503126,../images/Comprimida/5cdafa012a188fb6ef453c23dbb541528054619fbcb22f027ae482614f292fef.png,489019,0.62,7
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant/Pleasant_landscape_S235711130_St25_G7.5.140.png,pleasant_18,235711130,pleasant,465955,../images/Comprimida/398ce3aa7861e485cd635a1bba29c3fc8d0a1144b6f530f7a8c99f6b2c23d573.png,450196,0.57,8
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant/Pleasant_landscape_S235711119_St25_G7.5.129.png,pleasant_7,235711119,pleasant,542604,../images/Comprimida/2cfef9bc8f08684095fa141440741a2caad0839ecf9b9ee9b8ebe5998dc358aa.png,529638,0.67,7
/home/jerre/git/Stable_Diffusion_IC/images/Pleasant/Pleasant_landscape_S235711140_St25_G7.5.150.png,pleasant_28,235711140,pleasant,470396,../images/Comprimida/870b4e056816443d9072ef9bc42723aebe01468e307b2d6c7f16550795bf33c3.png,453353,0.58,8
