path,weight,complexity,seed
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-5/Pleasant______landscape_S23571128_St25_G7.5.png,-5,50.88,23571128
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-5/Pleasant______landscape_S23571120_St25_G7.5.png,-5,55.14,23571120
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-5/Pleasant______landscape_S23571129_St25_G7.5.png,-5,50.09,23571129
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-5/Pleasant______landscape_S23571126_St25_G7.5.png,-5,64.71,23571126
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-5/Pleasant______landscape_S23571121_St25_G7.5.png,-5,56.81,23571121
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-5/Pleasant______landscape_S23571122_St25_G7.5.png,-5,62.49,23571122
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-5/Pleasant______landscape_S23571127_St25_G7.5.png,-5,54.92,23571127
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-5/Pleasant______landscape_S23571125_St25_G7.5.png,-5,57.33,23571125
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-5/Pleasant______landscape_S23571124_St25_G7.5.png,-5,61.33,23571124
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-5/Pleasant______landscape_S23571123_St25_G7.5.png,-5,58.35,23571123
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-4/Pleasant_____landscape_S23571122_St25_G7.5.png,-4,65.91,23571122
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-4/Pleasant_____landscape_S23571128_St25_G7.5.png,-4,50.89,23571128
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-4/Pleasant_____landscape_S23571124_St25_G7.5.png,-4,60.8,23571124
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-4/Pleasant_____landscape_S23571120_St25_G7.5.png,-4,55.02,23571120
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-4/Pleasant_____landscape_S23571125_St25_G7.5.png,-4,56.88,23571125
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-4/Pleasant_____landscape_S23571129_St25_G7.5.png,-4,49.94,23571129
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-4/Pleasant_____landscape_S23571123_St25_G7.5.png,-4,58.14,23571123
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-4/Pleasant_____landscape_S23571121_St25_G7.5.png,-4,55.94,23571121
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-4/Pleasant_____landscape_S23571126_St25_G7.5.png,-4,64.88,23571126
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-4/Pleasant_____landscape_S23571127_St25_G7.5.png,-4,54.6,23571127
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-3/Pleasant____landscape_S23571129_St25_G7.5.png,-3,49.82,23571129
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-3/Pleasant____landscape_S23571120_St25_G7.5.png,-3,54.81,23571120
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-3/Pleasant____landscape_S23571125_St25_G7.5.png,-3,56.61,23571125
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-3/Pleasant____landscape_S23571128_St25_G7.5.png,-3,50.65,23571128
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-3/Pleasant____landscape_S23571127_St25_G7.5.png,-3,54.51,23571127
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-3/Pleasant____landscape_S23571123_St25_G7.5.png,-3,58.26,23571123
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-3/Pleasant____landscape_S23571122_St25_G7.5.png,-3,64.49,23571122
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-3/Pleasant____landscape_S23571124_St25_G7.5.png,-3,60.58,23571124
/home/jerre/git/Stable_Diffusion_IC/landscape_img/Pleasant-3/Pleasant____landscape_S23571126_St25_G7.5.png,-3,64.85,23571126
