path,weight,complexity,seed
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-5/Unpleasant______field_S235711127_St25_G7.5.164.png,-5,46.08,235711127
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-5/Unpleasant______field_S235711120_St25_G7.5.157.png,-5,59.25,235711120
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-5/Unpleasant______field_S235711126_St25_G7.5.163.png,-5,70.54,235711126
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-5/Unpleasant______field_S235711128_St25_G7.5.165.png,-5,73.33,235711128
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-5/Unpleasant______field_S235711124_St25_G7.5.161.png,-5,69.87,235711124
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-5/Unpleasant______field_S235711122_St25_G7.5.159.png,-5,59.45,235711122
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-5/Unpleasant______field_S235711123_St25_G7.5.160.png,-5,46.55,235711123
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-5/Unpleasant______field_S235711121_St25_G7.5.158.png,-5,66.56,235711121
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-5/Unpleasant______field_S235711125_St25_G7.5.162.png,-5,61.99,235711125
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-5/Unpleasant______field_S235711129_St25_G7.5.166.png,-5,52.36,235711129
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-4/Unpleasant_____field_S235711128_St25_G7.5.155.png,-4,73.36,235711128
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-4/Unpleasant_____field_S235711122_St25_G7.5.149.png,-4,59.29,235711122
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-4/Unpleasant_____field_S235711125_St25_G7.5.152.png,-4,62.03,235711125
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-4/Unpleasant_____field_S235711126_St25_G7.5.153.png,-4,70.35,235711126
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-4/Unpleasant_____field_S235711123_St25_G7.5.150.png,-4,46.0,235711123
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-4/Unpleasant_____field_S235711124_St25_G7.5.151.png,-4,69.59,235711124
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-4/Unpleasant_____field_S235711120_St25_G7.5.147.png,-4,58.48,235711120
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-4/Unpleasant_____field_S235711127_St25_G7.5.154.png,-4,45.58,235711127
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-4/Unpleasant_____field_S235711121_St25_G7.5.148.png,-4,66.36,235711121
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-4/Unpleasant_____field_S235711129_St25_G7.5.156.png,-4,52.29,235711129
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-3/Unpleasant____field_S235711127_St25_G7.5.145.png,-3,45.17,235711127
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-3/Unpleasant____field_S235711120_St25_G7.5.137.png,-3,58.15,235711120
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-3/Unpleasant____field_S235711124_St25_G7.5.141.png,-3,69.06,235711124
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-3/Unpleasant____field_S235711122_St25_G7.5.139.png,-3,58.69,235711122
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-3/Unpleasant____field_S235711126_St25_G7.5.143.png,-3,70.59,235711126
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-3/Unpleasant____field_S235711121_St25_G7.5.138.png,-3,65.71,235711121
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-3/Unpleasant____field_S235711125_St25_G7.5.142.png,-3,61.46,235711125
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-3/Unpleasant____field_S235711128_St25_G7.5.144.png,-3,73.26,235711128
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-3/Unpleasant____field_S235711123_St25_G7.5.140.png,-3,45.5,235711123
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-3/Unpleasant____field_S235711129_St25_G7.5.146.png,-3,51.86,235711129
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-2/Unpleasant___field_S235711126_St25_G7.5.133.png,-2,70.0,235711126
/home/jerre/git/Stable_Diffusion_IC/colab_images/Unpleasant-2/Unpleasant___field_S235711127_St25_G7.5.134.png,-2,44.29,235711127
